Section,Question,Who Should Answer,Why This Matters,Our Recommendation
Shopping,"When an item is checked off, should it disappear or stay visible as 'done'?",Lenale (primarily),"Some people like seeing what's been gotten (especially if splitting the shopping trip). Others want a clean list.","Stay visible as checked off during the trip, auto-clear 24 hours after the last item is checked."
Budget & Finance,"How comfortable are you with linking bank accounts to an automated system?",Both,"Plaid is secure (used by Venmo, Robinhood, etc.) but some people have valid concerns about connecting bank data.","Plaid is industry standard and read-only — it cannot move money or make transactions. But both of you should be comfortable before we connect real accounts."
Budget & Finance,"Do you want per-category budgets (dining: $500, groceries: $600) or just total monthly tracking?",Both,"Per-category gives more control but requires more setup. Total spend is simpler but less actionable.","Start with 5-6 major categories (dining, groceries, gas, subscriptions, household, discretionary). You can add more later."
Budget & Finance,"Should the bot alert you when you're approaching a budget limit? At what threshold?",Both,"Proactive alerts prevent overspending but can feel judgmental if badly timed.","Alert at 75% and 90% of monthly budget. Post to #budget channel, not DM — spending is a household topic."
Budget & Finance,"Should spending data be fully shared, or do you each want some private spending visibility?",Both (sensitive topic),"Full transparency is great for shared budgets but some personal spending privacy is healthy.","Have an honest conversation about this. Our recommendation: shared view for joint accounts, individual discretionary spending is private unless you both want it shared."
Budget & Finance,"How often do you want budget summaries? Daily, weekly, or only when asked?",Both,"Daily can feel like micromanagement. Weekly might miss overspending in real-time.","Weekly summary every Sunday evening. Mid-week alert only if you're trending over budget. Daily is too much."
Daily Briefing,"What time should the morning brief post? What time zone?",Both,"Too early = ignored. Too late = useless. Should land when you're actually starting your day.","7:00 AM local time on weekdays, 9:00 AM on weekends. Adjust after a week of use."
Daily Briefing,"What should be in the morning brief? (Calendar, tasks, habits, weather, budget, all of it?)",Both,"The brief should be glanceable — 30 seconds to read. Too much info defeats the purpose.","Calendar + today's tasks + habit check-ins due + weather. Budget only if there's an alert. Keep it under 15 lines."
Daily Briefing,"Should there be an evening check-in? What should it ask?",Both,"Evening nudges help close the loop on habits and tasks but can feel annoying after a long day.","Yes, but gentle. 'You have 2 unchecked habits today — want to log them?' Not 'You failed to complete your habits.'"
Daily Briefing,"Should Lenale get the same brief as Parker, or a customized version?",Both,"You probably have different priorities. Parker may care about goals/habits. Lenale may care about calendar/shopping.","Customized. Each person should configure what shows up in their brief via a simple 'my brief includes...' command."
Tasks,"Should the bot assign tasks to a specific person, or are tasks shared?",Both,"If tasks are personal, you each see your own. If shared, you need assignment and visibility into who's doing what.","Support both. Default is shared/unassigned. Either person can claim or assign. The bot should know who's responsible."
Tasks,"How should the bot handle overdue tasks? Nag? Escalate? Silently reschedule?",Both,"Nagging is annoying but effective. Silent rescheduling hides problems. Need the right balance.","One reminder the day it's due, one nudge the day after. After 3 days overdue, ask 'Should I reschedule this or is it still happening?' No more than that."
Tasks,"Should the bot be able to create tasks from context? (e.g., 'Email from dentist = create dentist appointment task')",Parker (primarily),"Automatic task creation from email/calendar is powerful but can create noise if it guesses wrong.","Not yet. Start with explicit task creation only. Add smart suggestions later once the core loop is trusted."
Goals & Habits,"Should Lenale have her own goals and habits, or is this Parker-only for now?",Both,"If the system is household-wide, Lenale should be able to track her own things too.","Both. Personal goals are private by default. Either person can share a goal to a channel if they want accountability."
Goals & Habits,"How aggressive should habit nudges be? (Gentle reminder vs. 'You haven't done X in 3 days')",Both,"Too soft = ignored. Too aggressive = resented. Tone matters enormously here.","Start gentle. The bot should never make you feel bad. 'Hey, want to check in on meditation today?' not 'You've missed meditation 3 days in a row.' Escalate tone only if explicitly asked to."
Goals & Habits,"Should the bot celebrate streaks and milestones? How?",Both,"Positive reinforcement works. But if it feels fake or excessive it gets annoying fast.","Yes, but sparingly. Celebrate 7-day, 30-day, and 100-day streaks. A simple '🔥 7-day meditation streak!' in the relevant channel. No essays."
Agent Personality,"Should the bot have a name?",Both,"A name makes it feel like a household member vs. a tool. Some people love it, some find it cringe.","Give it a name. It lives in your Discord. 'Starbase' works, or pick something fun together. A named bot feels more natural to talk to."
Agent Personality,"What tone should the bot use? (Formal, casual, playful, minimal?)",Lenale (primarily),"If the tone feels wrong, people stop using it. This is the #1 reason chatbots get abandoned.","Casual but competent. Like a very organized friend, not a corporate assistant. Short sentences. No exclamation marks on everything."
Agent Personality,"Should the bot use emoji?",Both,"Emoji can make messages scannable and friendly, or feel childish depending on taste.","Light emoji for status indicators (✅, ⚠️, 🔥) and channel-appropriate reactions. Not every message needs emoji."
Agent Personality,"When the bot doesn't understand a request, how should it respond?",Both,"Bad error handling kills trust fast. 'I don't understand' with no guidance is frustrating.","Be honest and helpful: 'I'm not sure what you mean. Did you want me to [best guess A] or [best guess B]?' Always offer options, never just fail."
Privacy & Access,"Should Lenale have the same level of access as Parker, or are some things admin-only?",Both (sensitive topic),"Equal access = full partnership. Tiered access = one person controls the system. Both are valid.","Equal access to all shared features. Parker retains admin for system configuration (adding integrations, changing bot behavior). This isn't about trust — it's about not accidentally breaking things."
Privacy & Access,"Should the bot remember and reference personal context? (e.g., 'You mentioned you were stressed about work on Monday')",Both,"Context-awareness makes the agent more helpful but some people find it unsettling.","Yes for factual context (appointments, tasks, goals). No for emotional context — the bot shouldn't play therapist."
Privacy & Access,"Who can add new integrations or change the bot's behavior?",Both,"If either person can reconfigure the system, changes might surprise the other.","Parker manages integrations and system config. Either person can customize their own brief and notification preferences. Changes to shared channels require a heads-up to the other person."
Feedback & Improvement,"How should you submit feedback? (Dedicated command, dedicated channel, DM to bot?)",Both,"The easier it is to give feedback, the more feedback you'll get. The more feedback, the faster the system improves.","All three. Say 'feedback: [thing]' anywhere — in a channel, in a DM, as a command. The bot captures it and posts to #feedback for visibility."
Feedback & Improvement,"Should the bot ask for feedback proactively? (e.g., 'You haven't used shopping in 2 weeks — is it working for you?')",Both,"Proactive feedback prompts surface problems early. But they're annoying if too frequent.","Yes, but maximum once per week, and only about features that seem underused. Easy to dismiss with a 'it's fine' response."
Feedback & Improvement,"How should improvement requests get prioritized?",Both,"Without prioritization, feedback becomes a graveyard of unread requests.","The bot categorizes (bug, feature, improvement) and the weekly review surfaces the top items. Parker makes the final call on what gets built next."
Onboarding,"What's the first thing you want to be able to do with the bot on Day 1?",Lenale (primarily),"First impression matters. If the first interaction is confusing, adoption dies.","Shopping list management. It's shared, it's daily, and 'add milk to the list' is dead simple. Win her over with the easiest feature first."
Onboarding,"How much setup are you willing to do before the bot is useful?",Both,"Some systems require hours of configuration. Others work out of the box. Know your tolerance.","Near zero. The bot should work with sensible defaults from Day 1. Configuration should be optional and incremental — not a prerequisite."
Onboarding,"Would a guided tour be helpful, or do you prefer to just start using it?",Lenale (primarily),"Some people learn by reading instructions. Others learn by doing.","Just start using it. The bot should handle 'help' and 'what can you do?' commands naturally. No mandatory walkthrough."
